order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
df52ca7830380e7d8f7292e99434eea7,a1902b753d5eeb9831f1d3f89a13fba8,delivered,2018-05-26 11:51:00,2018/5/28 11:03,2018/5/28 14:03,2018/6/8 10:14,2018/6/12 0:00
a50aa8b40d7c388a14e6fe4ec5528ec3,52aceafe10a008aa9d22dfcb077b4c87,delivered,2018-05-26 09:55:00,2018/5/26 10:19,2018/5/28 10:02,2018/6/12 23:28,2018/7/11 0:00
576b3b33dc81c4368f8256613418a197,74d42649584dc3dca22a3f1f27232c53,delivered,2018-05-26 12:04:00,2018/5/26 12:30,2018/5/28 11:18,2018/6/22 19:32,2018/7/19 0:00
4b156097ed5516456bec1b582279acf8,98c7df0a28c0bdabac4c8b71bad62bbb,delivered,2018-05-26 11:44:00,2018/5/26 12:18,2018/5/29 13:23,2018/6/11 20:05,2018/7/16 0:00
46da9ca70ba869541332f73b43acad1e,2ad313a8287a197d9b303c380a6981db,delivered,2018-05-26 12:16:00,2018/5/29 3:15,2018/5/29 14:08,2018/6/2 16:32,2018/6/20 0:00
74d57affde20203d533384dafa37f324,52f02704d86432ee5cc102081bd388dc,delivered,2018-05-26 11:33:00,2018/5/26 11:50,2018/5/30 14:59,2018/6/4 15:28,2018/6/20 0:00
2d39684ee5837bfee04f0cf2c8eadde5,10ed82c17d5e644388fa717721d20ac6,delivered,2018-05-26 11:51:00,2018/5/27 11:50,2018/5/28 14:07,2018/6/8 14:18,2018/7/4 0:00
e08b081159a2418572e1a0fad41c8245,eac29434733abc9afe8ca9630626994b,delivered,2018-05-26 21:25:00,2018/5/26 21:38,2018/5/29 8:13,2018/6/6 23:42,2018/7/12 0:00
7ae97f48d1e1624e8baae4a3faee4837,47046a7bf901f66a12fa296a5982f5ad,delivered,2018-05-26 19:31:00,2018/5/26 19:49,2018/6/13 12:19,2018/6/21 17:36,2018/7/13 0:00
8d13ee60237028c737907273f16eda59,e6499695100f00ee9c22a33f8f94b9c4,delivered,2018-05-26 14:29:00,2018/5/27 14:30,2018/5/28 12:32,2018/6/6 15:28,2018/6/29 0:00
d80bc8900db383324d145cfb1c1aa854,1de6c6c911ceda2be652cd0db03d930e,delivered,2018-05-26 07:48:00,2018/5/26 8:19,2018/5/29 14:10,2018/6/7 18:51,2018/7/4 0:00
167a89d17687b40764e54424ec1f9afd,d7c23f3d2589891ae50aae3af800311b,delivered,2018-05-26 11:42:00,2018/5/26 11:50,2018/5/28 13:00,2018/6/15 16:35,2018/7/11 0:00
9e488299fb7e4dc6869975e2b3e9302a,d3c91b5f5fcf34f79c9f33ace68885ec,delivered,2018-05-26 12:58:00,2018/5/29 3:31,2018/5/29 13:55,2018/6/5 0:06,2018/6/20 0:00
0edefae02733735c88d242ce6b781802,d3ab89d9a1a9f356e6da0f519d0bf68e,delivered,2018-05-26 09:29:00,2018/5/26 9:50,2018/5/28 14:08,2018/6/6 20:46,2018/6/28 0:00
86501b9ee48e914f406cd33ddf6f77fb,824422e62602d2ed7c09adc7c877fa70,delivered,2018-05-26 15:20:00,2018/5/26 15:38,2018/5/29 8:26,2018/6/1 23:28,2018/7/3 0:00
d7c663de1470a2d3671791d3f093991c,9d5649c260bd257ab401500072c4eb2c,delivered,2018-05-26 18:25:00,2018/5/26 18:35,2018/5/28 13:37,2018/5/30 17:42,2018/6/28 0:00
be27ab7c550fcd6a7988396258c309f7,8395969c05c3191c6c0af2619e7a59c5,delivered,2018-05-26 12:31:00,2018/5/26 12:58,2018/5/28 15:55,2018/6/2 13:40,2018/6/28 0:00
d3a304fb1d9ad51a7a3b9d23e7d82bbf,07bfe0aec1af7b20ba9de14bca33b0f9,delivered,2018-05-26 13:08:00,2018/5/29 3:54,2018/5/30 14:00,2018/6/1 15:12,2018/6/14 0:00
6206eea10c401d9257092927e5b66deb,1c7e5b9a91a01eef9a4a9c64fe4ac441,delivered,2018-05-26 22:02:00,2018/5/26 22:17,2018/5/28 13:38,2018/6/4 17:22,2018/7/4 0:00
c9c2db5b32175fba946f9600ff4a9bc3,8911ea3cf270e1abec0da8488ace069e,delivered,2018-05-26 13:12:00,2018/5/26 13:38,2018/5/30 7:11,2018/6/13 19:18,2018/7/4 0:00
1c08a89405de0c81093b9eff6caf3dbf,5e0871625e4eb77e78357ca04985e135,delivered,2018-05-26 20:09:00,2018/5/26 20:29,2018/5/30 8:30,2018/6/5 0:07,2018/6/20 0:00
765f62aa9ec878cf62b1533261ae8e87,68d430cabd68310e0732347be5e9be22,delivered,2018-05-26 08:58:00,2018/5/26 9:15,2018/5/28 13:19,2018/6/11 17:52,2018/6/29 0:00
a2de6d09e4920c38cfd65f4c8f875fbb,cb95eb60ba3fcca766af7a54daf3657e,delivered,2018-05-26 16:54:00,2018/5/26 17:09,2018/6/1 13:23,2018/6/8 16:28,2018/6/28 0:00
c421fd33bf5d9c343f13b2d31e19bf5c,79101712eda4b5d48da47568e1720514,delivered,2018-05-26 15:04:00,2018/5/26 15:15,2018/5/29 13:44,2018/6/15 0:14,2018/7/3 0:00
73c2f6a3fe158985da4f15118a77783a,d9256d7e870dacf770ddfd2d6ec2b8df,delivered,2018-05-26 19:19:00,2018/5/26 19:38,2018/5/29 16:08,2018/6/7 18:46,2018/7/11 0:00
ce0fc5f1ff91f6aaf5eae637a2827b2e,d15532989a114df3c8065dd8e9eaf49b,delivered,2018-05-26 18:51:00,2018/5/26 19:10,2018/6/5 14:18,2018/6/11 14:36,2018/6/28 0:00
c9ecb640dff0357ce506afbcb9dcb76b,0794e4b99fb7375f4189f2f9d1b4c027,delivered,2018-05-26 00:50:00,2018/5/26 1:11,2018/5/30 12:07,2018/6/12 17:46,2018/7/18 0:00
07860da7c16265a28de8c2b2e9f4552b,e3d1323beac42a0618db14537566ade0,delivered,2018-05-26 10:54:00,2018/5/26 11:10,2018/5/28 10:06,2018/6/13 16:38,2018/7/5 0:00
57796a616d95192ef9a47a6634733f89,6822dd282ac1554e7bcc5e1755465ce6,delivered,2018-05-26 19:30:00,2018/5/26 19:49,2018/5/28 13:27,2018/6/12 19:52,2018/7/5 0:00
f037570b9dc59fcdd25a6d3e87135ce4,fc1533d533d97f6b04f4eefcbc1868b5,delivered,2018-05-26 00:34:00,2018/5/26 8:35,2018/5/28 14:08,2018/6/7 20:12,2018/6/28 0:00
ad5bf590212b05339591fac819fec669,61c40fbd64ecfee5270d6f9f2202c484,delivered,2018-05-26 11:41:00,2018/5/26 11:55,2018/5/28 13:27,2018/6/4 20:11,2018/6/28 0:00
